Product Name,Prodcut URL,Product Price,Rating,Rating Count
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3ODIxOTk4MTk4MjAxNTM0OjE2NzUyMzM3NjI6c3BfYnRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbag%26qid%3D1675233762%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹599,3.7 out of 5 stars,33
Urban Tribe Jumbo Backpack with 17.3 inch Gaming Laptop Compartment - 29L Bag with Anti Theft Lock Zippers,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3ODIxOTk4MTk4MjAxNTM0OjE2NzUyMzM3NjI6c3BfYnRmOjIwMTA0MTQwMjYzODk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbag%26qid%3D1675233762%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,498",4.1 out of 5 stars,198
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzM0MDAzMzYxODc5NjA2OjE2NzUyMzM3NjY6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbag%26qid%3D1675233766%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,₹998,3.9 out of 5 stars,683
"URBAN TRIBE Accelerator 30L Laptop Backpack with 15.6"" compartment for Office/Business/Travel/College, Casual Bag for Men and Women, Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzM0MDAzMzYxODc5NjA2OjE2NzUyMzM3NjY6c3BfYXRmOjIwMTA0MTQwMjYzMjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Accelerator%2Fdp%2FB01M6WLGH0%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbag%26qid%3D1675233766%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹1,698",4.0 out of 5 stars,502
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?keywords=bag&qid=1675233766&sr=8-3,₹565,4.3 out of 5 stars,"9,212"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?keywords=bag&qid=1675233766&sr=8-4,"₹1,299",4.1 out of 5 stars,"51,338"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?keywords=bag&qid=1675233766&sr=8-5,₹499,3.9 out of 5 stars,461
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?keywords=bag&qid=1675233766&sr=8-6,₹669,4.1 out of 5 stars,"3,361"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.com/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bag&qid=1675233766&sr=8-7,₹699,3.9 out of 5 stars,"2,175"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.com/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_8?keywords=bag&qid=1675233766&sr=8-8,₹798,4.1 out of 5 stars,911
Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),https://www.amazon.com/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_9?keywords=bag&qid=1675233766&sr=8-9,₹377,4.3 out of 5 stars,"6,308"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",https://www.amazon.com/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_10?keywords=bag&qid=1675233766&sr=8-10,₹299,4.1 out of 5 stars,"7,615"
Urban Tribe Amigo Backpack 15.6 Inch| Water Repellent |31 litres | Laptop Backpack for Men and Women,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzM0MDAzMzYxODc5NjA2OjE2NzUyMzM3NjY6c3BfbXRmOjIwMTA0MTQwMjYzMzk4OjowOjo&url=%2FUrban-Backpack-Repellent-litres-Laptop%2Fdp%2FB08X2FD3T8%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbag%26qid%3D1675233766%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,998",3.9 out of 5 stars,585
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzM0MDAzMzYxODc5NjA2OjE2NzUyMzM3NjY6c3BfbXRmOjIwMTA0MTQwMjY0Mjk4OjowOjo&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbag%26qid%3D1675233766%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,₹798,3.7 out of 5 stars,9
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?keywords=bag&qid=1675233766&sr=8-13,₹889,4.3 out of 5 stars,"5,307"
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",https://www.amazon.com/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_14?keywords=bag&qid=1675233766&sr=8-14,₹899,4.0 out of 5 stars,773
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_15?keywords=bag&qid=1675233766&sr=8-15,₹689,3.9 out of 5 stars,"2,678"
Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),https://www.amazon.com/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9/ref=sr_1_16?keywords=bag&qid=1675233766&sr=8-16,₹564,4.0 out of 5 stars,23
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.com/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_17?keywords=bag&qid=1675233766&sr=8-17,₹239,4.0 out of 5 stars,"1,983"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.com/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_18?keywords=bag&qid=1675233766&sr=8-18,₹839,4.2 out of 5 stars,"7,573"
AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,https://www.amazon.com/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_19?keywords=bag&qid=1675233766&sr=8-19,₹999,3.9 out of 5 stars,709
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_20?keywords=bag&qid=1675233766&sr=8-20,₹349,4.0 out of 5 stars,"4,394"
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzM0MDAzMzYxODc5NjA2OjE2NzUyMzM3NjY6c3BfYnRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbag%26qid%3D1675233766%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹599,3.7 out of 5 stars,33
Urban Tribe Jumbo Backpack with 17.3 inch Gaming Laptop Compartment - 29L Bag with Anti Theft Lock Zippers,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzM0MDAzMzYxODc5NjA2OjE2NzUyMzM3NjY6c3BfYnRmOjIwMTA0MTQwMjYzODk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbag%26qid%3D1675233766%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,498",4.1 out of 5 stars,198
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODQ4OTIxMDgxMDkzNjkxOjE2NzUyMzM3NzI6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbag%26qid%3D1675233772%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,₹998,3.9 out of 5 stars,683
"URBAN TRIBE Accelerator 30L Laptop Backpack with 15.6"" compartment for Office/Business/Travel/College, Casual Bag for Men and Women, Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODQ4OTIxMDgxMDkzNjkxOjE2NzUyMzM3NzI6c3BfYXRmOjIwMTA0MTQwMjYzMjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Accelerator%2Fdp%2FB01M6WLGH0%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbag%26qid%3D1675233772%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹1,698",4.0 out of 5 stars,502
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?keywords=bag&qid=1675233772&sr=8-3,₹565,4.3 out of 5 stars,"9,212"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?keywords=bag&qid=1675233772&sr=8-4,"₹1,299",4.1 out of 5 stars,"51,338"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?keywords=bag&qid=1675233772&sr=8-5,₹499,3.9 out of 5 stars,461
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?keywords=bag&qid=1675233772&sr=8-6,₹669,4.1 out of 5 stars,"3,361"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.com/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bag&qid=1675233772&sr=8-7,₹699,3.9 out of 5 stars,"2,175"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.com/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_8?keywords=bag&qid=1675233772&sr=8-8,₹798,4.1 out of 5 stars,911
Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),https://www.amazon.com/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_9?keywords=bag&qid=1675233772&sr=8-9,₹377,4.3 out of 5 stars,"6,308"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",https://www.amazon.com/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_10?keywords=bag&qid=1675233772&sr=8-10,₹299,4.1 out of 5 stars,"7,615"
Urban Tribe Amigo Backpack 15.6 Inch| Water Repellent |31 litres | Laptop Backpack for Men and Women,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODQ4OTIxMDgxMDkzNjkxOjE2NzUyMzM3NzI6c3BfbXRmOjIwMTA0MTQwMjYzMzk4OjowOjo&url=%2FUrban-Backpack-Repellent-litres-Laptop%2Fdp%2FB08X2FD3T8%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbag%26qid%3D1675233772%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,998",3.9 out of 5 stars,585
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODQ4OTIxMDgxMDkzNjkxOjE2NzUyMzM3NzI6c3BfbXRmOjIwMTA0MTQwMjY0Mjk4OjowOjo&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbag%26qid%3D1675233772%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,₹798,3.7 out of 5 stars,9
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?keywords=bag&qid=1675233772&sr=8-13,₹889,4.3 out of 5 stars,"5,307"
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",https://www.amazon.com/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_14?keywords=bag&qid=1675233772&sr=8-14,₹899,4.0 out of 5 stars,773
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_15?keywords=bag&qid=1675233772&sr=8-15,₹689,3.9 out of 5 stars,"2,678"
Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),https://www.amazon.com/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9/ref=sr_1_16?keywords=bag&qid=1675233772&sr=8-16,₹564,4.0 out of 5 stars,23
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.com/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_17?keywords=bag&qid=1675233772&sr=8-17,₹239,4.0 out of 5 stars,"1,983"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.com/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_18?keywords=bag&qid=1675233772&sr=8-18,₹839,4.2 out of 5 stars,"7,573"
AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,https://www.amazon.com/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_19?keywords=bag&qid=1675233772&sr=8-19,₹999,3.9 out of 5 stars,709
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_20?keywords=bag&qid=1675233772&sr=8-20,₹349,4.0 out of 5 stars,"4,394"
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODQ4OTIxMDgxMDkzNjkxOjE2NzUyMzM3NzI6c3BfYnRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbag%26qid%3D1675233772%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹599,3.7 out of 5 stars,33
Urban Tribe Jumbo Backpack with 17.3 inch Gaming Laptop Compartment - 29L Bag with Anti Theft Lock Zippers,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODQ4OTIxMDgxMDkzNjkxOjE2NzUyMzM3NzI6c3BfYnRmOjIwMTA0MTQwMjYzODk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbag%26qid%3D1675233772%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,498",4.1 out of 5 stars,198
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjQ0NDg3OTE5OTg4ODU5OjE2NzUyMzM3Nzc6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbag%26qid%3D1675233777%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,₹998,3.9 out of 5 stars,683
"URBAN TRIBE Accelerator 30L Laptop Backpack with 15.6"" compartment for Office/Business/Travel/College, Casual Bag for Men and Women, Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjQ0NDg3OTE5OTg4ODU5OjE2NzUyMzM3Nzc6c3BfYXRmOjIwMTA0MTQwMjYzMjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Accelerator%2Fdp%2FB01M6WLGH0%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbag%26qid%3D1675233777%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹1,698",4.0 out of 5 stars,502
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?keywords=bag&qid=1675233777&sr=8-3,₹565,4.3 out of 5 stars,"9,212"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?keywords=bag&qid=1675233777&sr=8-4,"₹1,299",4.1 out of 5 stars,"51,338"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?keywords=bag&qid=1675233777&sr=8-5,₹499,3.9 out of 5 stars,461
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?keywords=bag&qid=1675233777&sr=8-6,₹669,4.1 out of 5 stars,"3,361"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.com/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bag&qid=1675233777&sr=8-7,₹699,3.9 out of 5 stars,"2,175"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.com/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_8?keywords=bag&qid=1675233777&sr=8-8,₹798,4.1 out of 5 stars,911
Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),https://www.amazon.com/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_9?keywords=bag&qid=1675233777&sr=8-9,₹377,4.3 out of 5 stars,"6,308"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",https://www.amazon.com/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_10?keywords=bag&qid=1675233777&sr=8-10,₹299,4.1 out of 5 stars,"7,615"
Urban Tribe Amigo Backpack 15.6 Inch| Water Repellent |31 litres | Laptop Backpack for Men and Women,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjQ0NDg3OTE5OTg4ODU5OjE2NzUyMzM3Nzc6c3BfbXRmOjIwMTA0MTQwMjYzMzk4OjowOjo&url=%2FUrban-Backpack-Repellent-litres-Laptop%2Fdp%2FB08X2FD3T8%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbag%26qid%3D1675233777%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,998",3.9 out of 5 stars,585
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjQ0NDg3OTE5OTg4ODU5OjE2NzUyMzM3Nzc6c3BfbXRmOjIwMTA0MTQwMjY0Mjk4OjowOjo&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbag%26qid%3D1675233777%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,₹798,3.7 out of 5 stars,9
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?keywords=bag&qid=1675233777&sr=8-13,₹889,4.3 out of 5 stars,"5,307"
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",https://www.amazon.com/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_14?keywords=bag&qid=1675233777&sr=8-14,₹899,4.0 out of 5 stars,773
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_15?keywords=bag&qid=1675233777&sr=8-15,₹689,3.9 out of 5 stars,"2,678"
Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),https://www.amazon.com/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9/ref=sr_1_16?keywords=bag&qid=1675233777&sr=8-16,₹564,4.0 out of 5 stars,23
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.com/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_17?keywords=bag&qid=1675233777&sr=8-17,₹239,4.0 out of 5 stars,"1,983"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.com/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_18?keywords=bag&qid=1675233777&sr=8-18,₹839,4.2 out of 5 stars,"7,573"
AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,https://www.amazon.com/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_19?keywords=bag&qid=1675233777&sr=8-19,₹999,3.9 out of 5 stars,709
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_20?keywords=bag&qid=1675233777&sr=8-20,₹349,4.0 out of 5 stars,"4,394"
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjQ0NDg3OTE5OTg4ODU5OjE2NzUyMzM3Nzc6c3BfYnRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbag%26qid%3D1675233777%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹599,3.7 out of 5 stars,33
Urban Tribe Jumbo Backpack with 17.3 inch Gaming Laptop Compartment - 29L Bag with Anti Theft Lock Zippers,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjQ0NDg3OTE5OTg4ODU5OjE2NzUyMzM3Nzc6c3BfYnRmOjIwMTA0MTQwMjYzODk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbag%26qid%3D1675233777%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,498",4.1 out of 5 stars,198
